Chiave;Codice_Fiscale;Identificativo_PAI
1;HTNHHR99R90H999K;
2;NHNWHH99H94H9999;
3;R9SHPP09H999999H;
4;HHHNHH99999H909T;
5;HHHH9H99T09H499Y;
6;HRH9RN90P449999H;
7;9RHHTN49H99H994T;
8;NHHNNH49H409999Y;
9;9HHHNH99H0490999;
10;HNHNHR49S49H9999;
11;;
12;;
13;;
14;;
15;;
16;;
17;;
18;;
19;;
20;HPTHNN90R99H9999;
21;HRHS9N99H999999W;
22;;
23;;
24;;
25;;
26;;
27;;
28;9TTHHR99H9999999;
29;THRHRN99999H999H;
30;HZZHHH99H99H9099;
31;HRZHNN9999999999;
32;9RH99T99999H999H;
33;KRHRWN49H99Z999H;
34;9RHHRH49H909999S;
35;9NTHHN99H999999X;
36;HHHHHH99H99H999H;
37;99RHTN949099499H;
38;HNTS9T99909H0999;
39;;
40;;
41;;
42;;
43;;
44;;
45;;
46;;
47;;
48;;
49;;
50;;
51;HRNHHR99H99H999H;
52;;
53;;
54;;
55;;
56;;
57;;
58;9NTHHN99H999999X;
59;9NH9HH909999999W;
60;KHRRJH49909Z9999;
61;ZNTHHN49H9999999;
62;HRSHPP94T999990H;
63;PNHHTT99H04H999N;
64;9RTHH9949909909P;
65;H9RHHN90949H999Z;
66;HSHPPN99T49H909P;
67;HHH9TR99S999999H;
68;HHNTTN99H99Z999Y;
69;;
70;;
71;;
72;HR99HR99949Z9999;
73;9HZTSN99R49H9949;
74;H9NHRS99H94H0949;
75;STHHPP99940H009W;
76;HRHPTR99H09H940H;
77;SNZHHH99H99H940S;
78;9NTNNR99999H909Y;
79;HRHHNH99H09H499K;
80;PPRSHN99S49H909J;
81;9N9HRT99R99H9099;
82;PRSNNH99P49H999R;
83;9NYNTH99T99Z999Z;
84;9HHTRS99H999999T;
85;HHHRHH99H99H494P;
86;STHHPP99940H009W;
87;9RTHTN99999H9999;
88;9HHRNT99T999999H;
89;;
90;;
91;;
92;;
93;;
94;;
95;HHHHH994H49H999W;
96;RHH9NT909909999H;
97;NYS9TH99909Z999J;
98;;
99;;
100;;
101;9HHHNN49H9099999;
102;;
103;;
104;;
105;HRH9NT99H49H994S;
106;9HHTRS99H999999T;
107;HHHHPP9999999999;
108;RTTS9T99S04H994W;
109;HNZNHR49S49H909T;
110;;
111;;
112;;
113;H9NHH999P99H909H;
114;;
115;P9RNNT94R499999Y;
116;HNHHHN99H99H9499;
117;TNSHHN49P90Z999H;
118;PTRHNT99990Z999H;
119;;
120;;
121;;
122;HNHHHR99H499999H;
123;RZZHRH99T99H9099;
124;HHRHHR99H94H9999;
125;PTRHNT99990Z999H;
126;ZKHYHY99H99Z999Z;
127;;
128;;
129;RZZHRH99T99H9099;
130;SNHHTN44T09H009H;
131;PTRHNT99990Z999H;
132;;
133;;
134;9HHTRS99H999999T;
135;HH99HN94H94H999R;
136;PSHNHR99H90H9049;
137;RN9S9T99999H999H;
138;;
139;;
140;;
141;HRH9NT99909H994H;
142;PH9HSH90P99H999T;
143;HHTRHN09H99H499H;
144;9RNHRH99R99H9099;
145;9NZHR999H99H499R;
146;HTRHHR99P44H099Y;
147;HRTHTT99H99H9999;
148;PRHHHH99T90H909T;
149;KTHYK949S49Z999H;
150;;
151;;
152;;
153;HHHHPP9999999999;
154;HNTHRH49H99H9999;
155;HRHHNH94S99H999H;
156;9RH9TR99T9999999;
157;HHHHNH99H409999Z;
158;HSTNNN99S49H999H;
159;HNZNHR49S49H909T;
160;HHHPHH99H099999H;
161;RTHHHN99P99H999W;
162;ZH9HN999H99H9099;
163;HNSHHS09H94H9099;
164;HRNHNN99H99H999H;
165;NHHRHN99H04H499H;
166;HRNNSH99H49H949H;
167;H9NHH999P99H909H;
168;HNTS9N90T49H999N;
169;HRHHNH99H09H499K;
170;9RTHTR99R49H9999;
171;HHHHNN99H999999H;
172;SHHNNH9099999999;
173;TRHHNH99H999099H;
174;HRSNZ9999909990J;
175;;
176;;
177;;
178;;
179;;
180;;
181;;
182;;
183;;
184;;
185;;
186;;
187;TRR9HH99H90H940H;
188;;
189;;
190;;
191;;
192;;
193;;
194;;
195;;
196;;
197;;
198;;
199;;
200;;
201;;
202;;
203;;
204;;
